Item Number,Description,Size 1,Size 2,Store,Dept.,Category,SubCat,Vendor,Order Number,OnHand,OnOrder,Layaway,Committed,Cost,PriceUnits,Price,YTD Sales,OrdPt,OrdUp2,LastSale,G/L,Bin Location
808,Custom Theta Lambda Family Weekend tee,XXXXL,RED,1,7,!Undefined,!Undefined,369,GILDAN 5000 MAROON,0,0,0,0,10,1,12.5,0,0,0,20140923,120010,
809,Custom Delta Kappa MAW Tees,L,RED,1,9,!Undefined,!Undefined,260,809,0,0,0,0,13.25,1,16.6,0,0,0,20121121,120010,
809,Custom Delta Kappa MAW Tees,M,RED,1,9,!Undefined,!Undefined,260,809,0,0,0,0,13.25,1,16.6,0,0,0,20121121,120010,
809,Custom Delta Kappa MAW Tees,S,RED,1,9,!Undefined,!Undefined,260,809,0,0,0,0,13.25,1,16.6,0,0,0,20121121,120010,
809,Custom Delta Kappa MAW Tees,XL,RED,1,9,!Undefined,!Undefined,260,809,0,0,0,0,13.25,1,16.6,0,0,0,20121121,120010,
80A,Custom gingham Tau Mu tees,M,RED,1,7,!Undefined,!Undefined,,80A,0,0,0,0,13,1,16.5,0,0,0,20091217,120010,
80A,Custom gingham Tau Mu tees,S,RED,1,7,!Undefined,!Undefined,,80A,0,0,0,0,13,1,16.5,0,0,0,20091217,120010,
80A,Custom gingham Tau Mu tees,XS,RED,1,7,!Undefined,!Undefined,,80A,0,0,0,0,13,1,16.5,0,0,0,20091217,120010,
80B,Custom Tau Mu polka dot tees,M,RED,1,7,!Undefined,!Undefined,,80B,0,0,0,0,13,1,16.5,0,0,0,20091217,120010,
80B,Custom Tau Mu polka dot tees,M,WHITE,1,7,!Undefined,!Undefined,,80B,0,0,0,0,11.12,1,16.5,0,0,0,0,120010,
80B,Custom Tau Mu polka dot tees,S,RED,1,7,!Undefined,!Undefined,,80B,0,0,0,0,13,1,16.5,0,0,0,20091217,120010,
80B,Custom Tau Mu polka dot tees,S,WHITE,1,7,!Undefined,!Undefined,,80B,0,0,0,0,11.12,1,16.5,0,0,0,0,120010,
